PlaneIdx,SatId,Side,OldNeighborSatId,NewNeighborSatId,StartTime_UTCG,EndTime_UTCG,Duration_sec,Duration_min
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 19:21:53.901,2025-12-15 19:31:03.407,549.51,9.16
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 19:39:01.094,2025-12-15 20:04:26.321,1525.23,25.42
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 20:09:40.956,2025-12-15 20:18:53.742,552.79,9.21
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 20:26:50.342,2025-12-15 20:52:16.053,1525.71,25.43
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 20:57:27.092,2025-12-15 21:06:44.244,557.15,9.29
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 21:14:39.622,2025-12-15 21:40:05.688,1526.07,25.43
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 21:45:12.152,2025-12-15 21:54:34.894,562.74,9.38
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 22:02:28.960,2025-12-15 22:27:55.200,1526.24,25.44
1,Sat_1_3,Left,Sat_15_4,Sat_15_3,2025-12-15 23:20:50.339,2025-12-15 23:30:16.570,566.23,9.44
1,Sat_1_3,Left,Sat_15_3,Sat_15_4,2025-12-15 23:38:07.791,2025-12-16 00:00:00.000,1312.21,21.87
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 00:06:42.389,2025-12-15 00:15:54.772,552.38,9.21
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 00:23:51.498,2025-12-15 00:49:17.161,1525.66,25.43
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 00:54:28.631,2025-12-15 01:03:45.257,556.63,9.28
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 01:11:40.771,2025-12-15 01:37:06.807,1526.04,25.43
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 01:42:13.815,2025-12-15 01:51:35.892,562.08,9.37
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 01:59:30.104,2025-12-15 02:24:56.333,1526.23,25.44
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 03:17:51.184,2025-12-15 03:27:17.544,566.36,9.44
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 04:05:43.258,2025-12-15 04:15:08.531,565.27,9.42
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 04:53:35.160,2025-12-15 05:02:59.391,564.23,9.40
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 05:41:26.863,2025-12-15 05:50:45.960,559.10,9.32
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 06:29:18.337,2025-12-15 06:38:33.169,554.83,9.25
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 06:46:27.008,2025-12-15 07:11:50.543,1523.53,25.39
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 07:17:09.550,2025-12-15 07:26:20.929,551.38,9.19
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 07:34:16.587,2025-12-15 07:59:40.116,1523.53,25.39
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 08:05:00.465,2025-12-15 08:14:09.169,548.70,9.15
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 08:22:06.178,2025-12-15 08:47:29.801,1523.62,25.39
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 08:52:51.042,2025-12-15 09:01:57.827,546.78,9.11
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 09:09:55.774,2025-12-15 09:35:19.572,1523.80,25.40
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 09:40:41.235,2025-12-15 09:49:46.851,545.62,9.09
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 09:57:45.372,2025-12-15 10:23:09.403,1524.03,25.40
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 10:28:30.988,2025-12-15 10:37:36.196,545.21,9.09
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 10:45:34.964,2025-12-15 11:10:59.268,1524.30,25.41
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 11:16:20.241,2025-12-15 11:25:25.824,545.58,9.09
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 11:33:24.545,2025-12-15 11:58:49.143,1524.60,25.41
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 12:04:08.921,2025-12-15 12:13:15.700,546.78,9.11
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 12:21:14.110,2025-12-15 12:46:39.001,1524.89,25.41
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 12:51:56.941,2025-12-15 13:01:05.797,548.86,9.15
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 13:09:03.654,2025-12-15 13:34:28.819,1525.16,25.42
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 13:39:44.200,2025-12-15 13:48:56.088,551.89,9.20
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 13:56:52.973,2025-12-15 14:22:18.571,1525.60,25.43
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 14:27:30.574,2025-12-15 14:36:46.552,555.98,9.27
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 14:44:42.237,2025-12-15 15:10:08.232,1526.00,25.43
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 15:15:15.913,2025-12-15 15:24:37.167,561.25,9.35
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 15:32:31.562,2025-12-15 15:57:57.776,1526.21,25.44
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 16:03:00.033,2025-12-15 16:12:27.917,567.88,9.46
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 16:50:52.257,2025-12-15 17:00:18.786,566.53,9.44
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 17:38:44.354,2025-12-15 17:48:09.760,565.41,9.42
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 18:26:36.281,2025-12-15 18:36:00.825,564.54,9.41
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 19:14:28.013,2025-12-15 19:23:47.760,559.75,9.33
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 20:02:19.520,2025-12-15 20:11:34.887,555.37,9.26
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 20:19:28.437,2025-12-15 20:44:51.981,1523.54,25.39
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 20:50:10.770,2025-12-15 20:59:22.576,551.81,9.20
1,Sat_1_4,Left,Sat_15_4,Sat_15_5,2025-12-15 21:07:18.014,2025-12-15 21:32:41.537,1523.52,25.39
1,Sat_1_4,Left,Sat_15_5,Sat_15_4,2025-12-15 21:38:01.729,2025-12-15 21:47:10.754,549.03,9.15
