Node Name,Node IP,Network Card,Time(YYYY-MM-DD HH:MM:SS),Inbound Traffic Rate(B/s)
k8s-worker12,10.1.2.10,cni0,2026-01-18 04:27:16,3931.1000000000004 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 05:27:16,3926.3074074074075 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 06:27:16,3943.170580849701 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 07:27:16,3925.514814814815 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 08:27:16,3936.2293934421973 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 09:27:16,3945.437037037037 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 10:27:16,3939.774074074074 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 11:27:16,3941.388888888889 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 12:27:16,3935.5666666666666 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 13:27:16,3943.1000000000004 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 14:27:16,3934.0592592592593 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 15:27:16,3937.7888888888892 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 16:27:16,3924.8706486272276 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 17:27:16,3928.3444444444444 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 18:27:16,3950.211111111111 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 19:27:16,3939.4407407407407 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 20:27:16,3925 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 21:27:16,3942.437037037037 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 22:27:16,3930.436779395479 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-18 23:27:16,3950.9296296296297 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 00:27:16,3933.914814814815 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 01:27:16,3930.2333333333336 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 02:27:16,3922.977777777778 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 03:27:16,3941.425925925926 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 04:27:16,3933.9481481481484 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 05:27:16,3931.588888888889 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 06:27:16,3932.5740740740744 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 07:27:16,3933.7113566246057 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 08:27:16,3927.685185185185 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 09:27:16,3929.8074074074075 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 10:27:16,3930.1219634146787 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 11:27:16,3927.051851851852 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 12:27:16,3930.4666666666667 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 13:27:16,3938.203703703704 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 14:27:16,3927.3777777777777 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 15:27:16,3940.5925925925926 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 16:27:16,3930.3256678728435 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 17:27:16,3943.751851851852 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 18:27:16,3935.9002374065285 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 19:27:16,3937.1664339497547 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 20:27:16,3931.9701184078453 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 21:27:16,4115.347720934367 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 22:27:16,4116.051851851852 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-19 23:27:16,3933.392345897577 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 00:27:16,4118.537037037037 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 01:27:16,3935.1111111111113 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 02:27:16,3926.3441716450798 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 03:27:16,3929.2592592592596 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 04:27:16,3918.8851851851855 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 05:27:16,3933.8738291623295 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 06:27:16,3942.166666666667 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 07:27:16,3928.0185185185187 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 08:27:16,3936.114814814815 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 09:27:16,3940.6333333333337 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 10:27:16,3944.814814814815 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 11:27:16,3924.3780578590454 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 12:27:16,3934.1962962962966 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 13:27:16,3932.2298806300723 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 14:27:16,3928.751851851852 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 15:27:16,3942.6444444444446 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 16:27:16,3933.748148148148 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 17:27:16,3931.5925925925926 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 18:27:16,3937.825925925926 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 19:27:16,3932.537286898938 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 20:27:16,3924.688888888889 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 21:27:16,3928.711111111111 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 22:27:16,3926.418245993503 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-20 23:27:16,3939.5333333333333 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-21 00:27:16,3933.1185185185186 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-21 01:27:16,3936.6370370370373 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-21 02:27:16,3938.737037037037 B/s
k8s-worker12,10.1.2.10,cni0,2026-01-21 03:27:16,3938.8592592592595 B/s
